user,number_of_steps,date
Juan García,7426,2024-05-16
María Rodríguez,6865,2024-05-16
Alejandro Martínez,7974,2024-05-16
Sofía López,8391,2024-05-16
Carlos Fernández,9178,2024-05-16
Ana Pérez,6287,2024-05-16
Luis González,8412,2024-05-16
Elena Ruiz,7822,2024-05-16
Diego Sánchez,7168,2024-05-16
Carmen Gómez,7703,2024-05-16
Juan García,7852,2024-05-17
María Rodríguez,7428,2024-05-17
Alejandro Martínez,8344,2024-05-17
Sofía López,8559,2024-05-17
Carlos Fernández,9206,2024-05-17
Ana Pérez,6248,2024-05-17
Luis González,8702,2024-05-17
Elena Ruiz,8408,2024-05-17
Diego Sánchez,7192,2024-05-17
Carmen Gómez,7833,2024-05-17
Juan García,8071,2024-05-18
María Rodríguez,7212,2024-05-18
Alejandro Martínez,8197,2024-05-18
Sofía López,8898,2024-05-18
Carlos Fernández,9236,2024-05-18
Ana Pérez,6610,2024-05-18
Luis González,8895,2024-05-18
Elena Ruiz,8288,2024-05-18
Diego Sánchez,7581,2024-05-18
Carmen Gómez,7614,2024-05-18
Juan García,8096,2024-05-19
María Rodríguez,7604,2024-05-19
Alejandro Martínez,8367,2024-05-19
Sofía López,8845,2024-05-19
Carlos Fernández,9355,2024-05-19
Ana Pérez,6693,2024-05-19
Luis González,9082,2024-05-19
Elena Ruiz,8222,2024-05-19
Diego Sánchez,7654,2024-05-19
Carmen Gómez,7602,2024-05-19
Juan García,8021,2024-05-20
María Rodríguez,7692,2024-05-20
Alejandro Martínez,8658,2024-05-20
Sofía López,9156,2024-05-20
Carlos Fernández,9371,2024-05-20
Ana Pérez,6870,2024-05-20
Luis González,9009,2024-05-20
Elena Ruiz,8316,2024-05-20
Diego Sánchez,7735,2024-05-20
Carmen Gómez,7991,2024-05-20
Juan García,8199,2024-05-21
María Rodríguez,7508,2024-05-21
Alejandro Martínez,8491,2024-05-21
Sofía López,9202,2024-05-21
Carlos Fernández,9494,2024-05-21
Ana Pérez,6951,2024-05-21
Luis González,9143,2024-05-21
Elena Ruiz,8638,2024-05-21
Diego Sánchez,8071,2024-05-21
Carmen Gómez,8026,2024-05-21
Juan García,8253,2024-05-22
María Rodríguez,7888,2024-05-22
Alejandro Martínez,8547,2024-05-22
Sofía López,9284,2024-05-22
Carlos Fernández,9461,2024-05-22
Ana Pérez,7109,2024-05-22
Luis González,9142,2024-05-22
Elena Ruiz,8522,2024-05-22
Diego Sánchez,8381,2024-05-22
Carmen Gómez,8242,2024-05-22
Juan García,8141,2024-05-23
María Rodríguez,7703,2024-05-23
Alejandro Martínez,8830,2024-05-23
Sofía López,9042,2024-05-23
Carlos Fernández,9760,2024-05-23
Ana Pérez,7277,2024-05-23
Luis González,9143,2024-05-23
Elena Ruiz,8700,2024-05-23
Diego Sánchez,8441,2024-05-23
Carmen Gómez,8241,2024-05-23
